True Solar,True Wind,Predicted Mean Solar,Predicted Mean Wind,Predicted Std. Dev. Solar,Predicted Std. Dev. Wind
0.632723,0.03980844,0.662978,0.03629123,0.09335225,0.043954194
0.6490557,0.044862323,0.680557,0.041351166,0.09468286,0.04590064
0.66329575,0.04760937,0.6960665,0.046963792,0.09596,0.047963627
0.6767508,0.055995036,0.7087315,0.05318595,0.096916266,0.0502453
0.68883425,0.06254657,0.7200039,0.060096674,0.097719625,0.052638568
0.70013654,0.07274818,0.7304006,0.06756146,0.09841867,0.055361252
0.7098392,0.0722752,0.7401038,0.07560666,0.09908096,0.058268026
0.7184395,0.083960555,0.74916536,0.08362731,0.09963636,0.060980774
0.726516,0.09824208,0.7570686,0.09136959,0.100279525,0.06347847
0.735191,0.10546263,0.7646763,0.09997368,0.10101869,0.0662462
0.74059504,0.107970364,0.77266264,0.109454386,0.10177083,0.06917154
0.7453065,0.12073449,0.7781383,0.117658645,0.102331124,0.07156197
0.748127,0.12119936,0.7824716,0.12608694,0.102905706,0.07391665
0.749723,0.13233915,0.7849239,0.13233936,0.10330182,0.075471096
0.750384,0.13672283,0.7864451,0.13932927,0.10376905,0.07715425
0.75009125,0.14120424,0.78673095,0.1463939,0.10424597,0.07858778
0.748347,0.14584239,0.78536737,0.15168528,0.10454734,0.07953988
0.74500775,0.15739003,0.7826107,0.15429573,0.10465071,0.07998536
0.7411115,0.15820926,0.7785892,0.15808097,0.1048213,0.08060956
0.7353558,0.14734721,0.7729667,0.1609409,0.10492992,0.08114801
0.728948,0.15298395,0.7663752,0.16183956,0.10484442,0.08138362
0.721035,0.14988883,0.7590569,0.16136906,0.104660235,0.08141425
0.7122515,0.16153033,0.75097764,0.16006061,0.10442784,0.08132707
0.702062,0.16120857,0.7420179,0.15830864,0.104091965,0.08115899
0.69073904,0.15938705,0.7322276,0.15634403,0.10371521,0.08093907
0.67788,0.16270669,0.7210146,0.15423395,0.103441104,0.08073086
0.66413075,0.16067612,0.7090138,0.152158,0.103049226,0.08051103
0.64960474,0.15028824,0.6966885,0.15016241,0.102606036,0.080254935
0.6336662,0.15441373,0.683739,0.14827852,0.10214202,0.07997864
0.616735,0.14514641,0.6698973,0.14324155,0.10140863,0.07911514
0.598305,0.14568178,0.6548445,0.13802259,0.10040564,0.078185335
0.579254,0.1432046,0.6379606,0.13416153,0.09946397,0.077514954
0.5591552,0.14584087,0.6205889,0.13136508,0.09867141,0.077005014
0.537763,0.14528577,0.60285276,0.12929222,0.09797188,0.076606445
0.51526576,0.14785248,0.5842308,0.12770359,0.09741692,0.07625338
0.49113727,0.14437287,0.5643973,0.12632102,0.09703591,0.07592025
0.46492648,0.14984623,0.5435649,0.1250477,0.09679345,0.075586565
0.43788522,0.14584169,0.5216008,0.12383274,0.096485056,0.07523127
0.4100255,0.13488024,0.4985134,0.122645624,0.096036606,0.07486023
0.38187,0.11110496,0.4737704,0.11876095,0.09511756,0.07404567
0.35197476,0.105472766,0.4458124,0.105266206,0.093386404,0.07124737
0.32134077,0.102028534,0.41726348,0.093101285,0.09184493,0.06828922
0.290099,0.092963375,0.38815713,0.08405189,0.09056431,0.06583951
0.25798616,0.08714098,0.35754344,0.075496696,0.08933712,0.06333445
0.22571027,0.0823415,0.32658532,0.06824139,0.08797895,0.06086786
0.19327205,0.0715671,0.29585108,0.060878925,0.08669554,0.057844047
0.160741,0.061157305,0.26400924,0.053269245,0.08554093,0.054229353
0.12967537,0.05568983,0.23114729,0.044643305,0.0842778,0.04912558
0.1006363,0.044599418,0.19718918,0.036949195,0.08324363,0.043709505
0.0743051,0.038439404,0.16116819,0.029147727,0.08182183,0.037567113
0.0513797,0.03299545,0.12574777,0.022801867,0.079586916,0.031937096
0.03341325,0.025880199,0.09153416,0.01761427,0.07552198,0.027671475
0.022093767,0.021676544,0.059835404,0.013195132,0.070200875,0.025127146
0.016673788,0.017722618,0.03314115,0.010064748,0.06327483,0.023950797
0.011132865,0.01437424,0.012640975,0.007787977,0.05731992,0.023317363
0.0018163801,0.011758196,-0.00037982425,0.006473529,0.054948412,0.023106875
0.0,0.008731203,-0.00815767,0.00603257,0.05431201,0.023315124
0.0,0.007127066,-0.0131397,0.005973938,0.054087818,0.023636809
0.0,0.0058565345,-0.016159989,0.006031677,0.053810433,0.02387047
0.0,0.0055178,-0.01587765,0.006198464,0.05363072,0.023979412
0.0,0.0053365887,-0.014820158,0.006427173,0.053372096,0.024039155
0.0,0.0040053506,-0.013737477,0.006553186,0.053247932,0.02403903
0.0,0.0043080063,-0.013042568,0.0065845684,0.05312889,0.024029898
0.0,0.0040816227,-0.012753461,0.0065861954,0.05306137,0.024031773
0.0,0.003198297,-0.012711917,0.006526128,0.053021826,0.024021018
0.0,0.0034252424,-0.012863848,0.006472956,0.053001445,0.02402353
0.0,0.0034672807,-0.013100502,0.0064538694,0.052989606,0.024046449
